,Date,Hour,Offense Type,Beat,Premise,Type,Suffix,Offenses,address
0,01/01/2018,18,Robbery,10H10,"Field, Woods, Forest, Park",-,-,1,"200 LENOX,Houston, TX"
1,01/01/2018,18,Theft,10H10,"Road, Street, or Sidewalk",DR,-,1,"3700 HOUSTON LAKE,Houston, TX"
2,01/02/2018,14,Theft,10H10,Auto Repair,-,-,1,"16700 EASTEX,Houston, TX"
3,01/04/2018,8,Burglary,10H10,Auto Repair,BLVD,-,1,"4700 HARRISBURG,Houston, TX"
4,01/04/2018,18,Theft,10H10,Department or Discount Store,BLVD,-,1,"5100 HARRISBURG,Houston, TX"
5,01/05/2018,11,Theft,10H10,Residence or House,ST,-,1,"4700 CAPITOL ST,Houston, TX"
6,01/05/2018,18,Aggravated Assault,10H10,"Road, Street, or Sidewalk",-,-,1,"5000 SHERMAN,Houston, TX"
7,01/06/2018,10,Theft,10H10,Vacant Building (Commercial),ST,-,1,"7700 BOWEN,Houston, TX"
8,01/06/2018,16,Theft,10H10,Commercial Parking Lot or Garage,-,-,1,"2100 RUNNELS,Houston, TX"
9,01/07/2018,10,Burglary,10H10,Garage or Carport,-,-,1,"2300 SPERBER LN,Houston, TX"
10,01/07/2018,16,Theft,10H10,"Other, Unknown, or Not Listed",-,-,1,"1900 RUNNELS,Houston, TX"
11,01/10/2018,6,Theft,10H10,Driveway,-,-,1,"4200 ENGELKE,Houston, TX"
12,01/10/2018,13,Theft,10H10,Other Parking Lot,LN,-,1,"3900 ADDISON RANCH,Houston, TX"
13,01/11/2018,8,Theft,10H10,Driveway,ST,-,1,"500 N SIDNEY ST,Houston, TX"
14,01/11/2018,23,Burglary,10H10,Restaurant or Cafeteria,BLVD,-,1,"3800 HARRISBURG,Houston, TX"
15,01/13/2018,21,Theft,10H10,Department or Discount Store,BLVD,-,1,"4500 HARRISBURG,Houston, TX"
16,01/14/2018,19,Robbery,10H10,"Road, Street, or Sidewalk",-,-,1,"2800 CANAL ST. APT.,Houston, TX"
17,01/15/2018,19,Theft,10H10,"Road, Street, or Sidewalk",-,-,1,"2200 NAVIGATION,Houston, TX"
18,01/18/2018,12,Aggravated Assault,10H10,Residence or House,ST,-,1,"7800 FULTON,Houston, TX"
19,01/21/2018,11,Theft,10H10,Residence or House,ST,-,1,"200 BLANCHE ST,Houston, TX"
20,01/21/2018,12,Theft,10H10,Residence or House,ST,-,1,"200 BLANCHE ST,Houston, TX"
21,01/22/2018,19,Theft,10H10,Social Services or Public Charities,ST,-,1,"2800 CANAL,Houston, TX"
22,01/22/2018,21,Burglary,10H10,Miscellaneous Business (Non-Specific),ST,N,1,"400 YORK,Houston, TX"
23,01/25/2018,14,Theft,10H10,Commercial Building,BLVD,-,1,"5800 HARRISBURG BLVD,Houston, TX"
24,01/26/2018,20,Burglary,10H10,Restaurant or Cafeteria,BLVD,-,1,"5000 NAVIGATION,Houston, TX"
25,01/27/2018,6,Burglary,10H10,Restaurant or Cafeteria,BLVD,-,1,"5000 NAVIGATION,Houston, TX"
26,01/27/2018,12,Burglary,10H10,Residence or House,ST,-,1,"200 N SUPER ST,Houston, TX"
27,01/28/2018,16,Aggravated Assault,10H10,Residence or House,DR,-,1,"15300 KINGFIELD,Houston, TX"
28,01/28/2018,16,Theft,10H10,Bar or Night Club Parking Lot,-,-,1,"3100 BERING,Houston, TX"
29,01/28/2018,21,Burglary,10H10,Restaurant or Cafeteria,ST,-,1,"3900 CANAL,Houston, TX"
30,01/30/2018,13,Theft,10H10,Miscellaneous Business (Non-Specific),ST,-,1,"200 N SUPER ST,Houston, TX"
31,01/31/2018,3,Burglary,10H10,Residence or House,ST,-,1,"200 N SUPER ST,Houston, TX"
32,01/31/2018,16,Theft,10H10,Service or Gas Station,DR,-,1,"500 LOCKWOOD,Houston, TX"
33,12/24/2017,9,AutoTheft,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,-,-,1,"17300 PINE CUT,Houston, TX"
34,01/01/2018,21,Robbery,10H20,Service or Gas Station,ST,-,1,"5100 BELL,Houston, TX"
35,01/02/2018,18,Burglary,10H20,Residence or House,-,-,1,"6600 AVE O,Houston, TX"
36,01/03/2018,13,Burglary,10H20,Warehouse,LN,-,1,"6300 CINDY,Houston, TX"
37,01/04/2018,21,Robbery,10H20,Apartment Parking Lot,DR,-,1,"5000 DEERPATH,Houston, TX"
38,01/04/2018,12,Burglary,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",-,-,1,"1100 WEAVER,Houston, TX"
39,01/05/2018,11,Theft,10H20,Residence or House,ST,-,1,"800 DELMAR ST,Houston, TX"
40,01/06/2018,6,Aggravated Assault,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",ST,-,1,"700 OAKHURST,Houston, TX"
41,01/07/2018,19,Burglary,10H20,Apartment,-,S,1,"700 JACKSON,Houston, TX"
42,01/08/2018,15,Theft,10H20,Apartment Parking Lot,ST,-,1,"4300 COYLE ST,Houston, TX"
43,01/09/2018,9,Burglary,10H20,Auto Repair,-,-,1,"4100 POLK,Houston, TX"
44,01/09/2018,9,Theft,10H20,Convenience Store,FWY,-,1,"4700 GULF,Houston, TX"
45,01/10/2018,20,Burglary,10H20,Miscellaneous Business (Non-Specific),-,-,1,"3800 LAMAR,Houston, TX"
46,01/11/2018,17,Theft,10H20,Warehouse,ST,-,1,"500 PRESTON,Houston, TX"
47,01/12/2018,10,Theft,10H20,Apartment,BLVD,-,1,"1900 CULLEN BLVD,Houston, TX"
48,01/12/2018,15,Burglary,10H20,Apartment,ST,-,1,"1300 DIEZ ST,Houston, TX"
49,01/13/2018,20,Robbery,10H20,Convenience Store,-,-,1,"4200 POLK,Houston, TX"
50,01/14/2018,16,Burglary,10H20,Residence or House,LN,-,1,"10500 SAGEVALE,Houston, TX"
51,01/15/2018,8,Burglary,10H20,Mobile Home,RD,-,1,"1700 TELEPHONE,Houston, TX"
52,01/17/2018,10,Burglary,10H20,Restaurant or Cafeteria Parking Lot,-,-,1,"5400 LAWNDALE,Houston, TX"
53,01/20/2018,15,Theft,10H20,Commercial Parking Lot or Garage,-,-,1,"3100 KNOTTY OAKS TRAILS,Houston, TX"
54,01/22/2018,8,Theft,10H20,Commercial Parking Lot or Garage,ST,-,1,"3900 COYLE ST,Houston, TX"
55,01/23/2018,7,Theft,10H20,Apartment Parking Lot,BLVD,-,1,"1900 CULLEN BLVD,Houston, TX"
56,01/23/2018,8,Theft,10H20,"Road, Street, or Sidewalk",-,-,1,"3800 LAMAR,Houston, TX"
57,01/23/2018,15,Theft,10H20,"Road, Street, or Sidewalk",BLVD,-,1,"1900 CULLEN BLVD,Houston, TX"
58,01/24/2018,3,Robbery,10H20,"Road, Street, or Sidewalk",-,-,1,"4800 OAKLAND,Houston, TX"
59,01/24/2018,7,Theft,10H20,Apartment Parking Lot,BLVD,-,1,"1900 CULLEN BLVD,Houston, TX"
60,01/24/2018,9,Theft,10H20,Department or Discount Store,-,-,1,"4000 POLK,Houston, TX"
61,01/25/2018,12,Theft,10H20,Bus Station,ST,-,1,"1700 DUMBLE ST,Houston, TX"
62,01/26/2018,8,Burglary,10H20,Construction Site,ST,-,1,"3500 OAK FOREST,Houston, TX"
63,01/26/2018,9,Burglary,10H20,Construction Site,-,-,1,"11300 SAGEWILLOW LANE,Houston, TX"
64,01/26/2018,10,Burglary,10H20,"Pawn, Resale Shop, or Flea Market",RD,-,1,"800 TELEPHONE,Houston, TX"
65,01/27/2018,1,Burglary,10H20,"Pawn, Resale Shop, or Flea Market",RD,-,1,"800 TELEPHONE,Houston, TX"
66,01/28/2018,17,Theft,10H20,Apartment Parking Lot,BLVD,-,1,"1900 CULLEN BLVD,Houston, TX"
67,01/29/2018,13,Burglary,10H20,Apartment,ST,-,1,"5000 PEASE,Houston, TX"
68,01/30/2018,11,Theft,10H20,Apartment Parking Lot,BLVD,-,1,"1900 CULLEN BLVD,Houston, TX"
69,01/31/2018,13,Aggravated Assault,10H20,"Road, Street, or Sidewalk",-,-,1,"4400 POLK,Houston, TX"
70,01/31/2018,22,Aggravated Assault,10H20,Residence or House,-,-,1,"2200 STONECREST DRIVE,Houston, TX"
71,01/01/2018,17,Theft,10H30,Bar or Night Club Parking Lot,DR,-,1,"10100 KIRKWREN,Houston, TX"
72,01/01/2018,12,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"1500 SAINT EMANUEL ST,Houston, TX"
73,01/01/2018,11,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"2200 BELL ST,Houston, TX"
74,01/02/2018,7,Burglary,10H30,Warehouse,ST,-,1,"1500 CHARTRES,Houston, TX"
75,01/05/2018,23,Theft,10H30,"Road, Street, or Sidewalk",-,-,1,"1300 NAGLE,Houston, TX"
76,01/05/2018,10,Theft,10H30,"Other, Unknown, or Not Listed",ST,-,1,"1400 ENNIS ST,Houston, TX"
77,01/06/2018,2,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"1600 HUTCHINS ST,Houston, TX"
78,01/06/2018,6,Theft,10H30,Other Parking Lot,-,-,1,"3400 LEELAND,Houston, TX"
79,01/06/2018,11,Theft,10H30,Bar or Night Club Parking Lot,ST,-,1,"2200 CLAY ST,Houston, TX"
80,01/06/2018,15,Theft,10H30,Restaurant or Cafeteria Parking Lot,ST,-,1,"1500 HUTCHINS ST,Houston, TX"
81,01/06/2018,23,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"1600 HUTCHINS ST,Houston, TX"
82,01/07/2018,16,Theft,10H30,Apartment Parking Lot,ST,-,1,"2200 MCKINNEY ST,Houston, TX"
83,01/07/2018,10,Theft,10H30,Apartment Parking Lot,ST,-,1,"2000 TEXAS ST,Houston, TX"
84,01/07/2018,8,Theft,10H30,Apartment Parking Lot,ST,-,1,"2200 MCKINNEY ST,Houston, TX"
85,01/07/2018,8,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"2100 DALLAS ST,Houston, TX"
86,01/09/2018,16,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"1900 COMMERCE ST,Houston, TX"
87,01/10/2018,18,Theft,10H30,Other Parking Lot,ST,-,1,"2000 COMMERCE ST,Houston, TX"
88,01/12/2018,19,Aggravated Assault,10H30,"Road, Street, or Sidewalk",ST,-,1,"1900 COMMERCE ST,Houston, TX"
89,01/13/2018,2,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"100 FIRST,Houston, TX"
90,01/13/2018,9,Robbery,10H30,Commercial Building,-,-,1,"2900 FULTON ST APT 208,Houston, TX"
91,01/13/2018,15,Theft,10H30,Commercial Parking Lot or Garage,ST,-,1,"1100 HUTCHINS ST,Houston, TX"
92,01/13/2018,23,Burglary,10H30,Residence or House,ST,-,1,"2100 TEXAS ST,Houston, TX"
93,01/14/2018,0,Theft,10H30,"Road, Street, or Sidewalk",DR,-,1,"23300 TIRINO SHORES,Houston, TX"
94,01/14/2018,13,Theft,10H30,"Road, Street, or Sidewalk",-,-,1,"2000 LAMAR,Houston, TX"
95,01/14/2018,14,Theft,10H30,Commercial Parking Lot or Garage,-,-,1,"2200 LEELAND,Houston, TX"
96,01/15/2018,8,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"900 BASTROP ST,Houston, TX"
97,01/15/2018,15,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"2900 PEASE ST,Houston, TX"
98,01/16/2018,2,Robbery,10H30,Apartment Parking Lot,ST,-,1,"2400 CAPITOL ST,Houston, TX"
99,01/16/2018,9,Theft,10H30,Other Parking Lot,ST,-,1,"2100 DALLAS ST,Houston, TX"
100,01/17/2018,14,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"1600 SAINT EMANUEL ST,Houston, TX"
101,01/18/2018,20,Theft,10H30,Restaurant or Cafeteria Parking Lot,ST,-,1,"2100 JEFFERSON ST,Houston, TX"
102,01/19/2018,1,Aggravated Assault,10H30,Bar or Night Club,ST,-,2,"800 SAINT EMANUEL ST,Houston, TX"
103,01/19/2018,8,Theft,10H30,Other Parking Lot,ST,-,1,"2000 COMMERCE ST,Houston, TX"
104,01/19/2018,17,Theft,10H30,"Field, Woods, Forest, Park",-,-,1,"2600 POLK,Houston, TX"
105,01/20/2018,1,Theft,10H30,"Road, Street, or Sidewalk",-,-,1,"7800 AVE C,Houston, TX"
106,01/21/2018,10,Theft,10H30,Bar or Night Club,-,-,1,"2100 LAMAR,Houston, TX"
107,01/21/2018,14,Aggravated Assault,10H30,Residence or House,ST,-,1,"2200 JEFFERSON ST,Houston, TX"
108,01/22/2018,11,Burglary,10H30,Apartment Rental Office,ST,-,1,"2400 CAPITOL,Houston, TX"
109,01/22/2018,22,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"1000 BASTROP ST,Houston, TX"
110,01/22/2018,23,Theft,10H30,Restaurant or Cafeteria Parking Lot,DR,-,1,"5900 GRAND COLONY,Houston, TX"
111,01/24/2018,12,Theft,10H30,Residence or House,ST,-,1,"1800 SHEARN,Houston, TX"
112,01/24/2018,21,Theft,10H30,"Road, Street, or Sidewalk",-,W,1,"2200 LOOP,Houston, TX"
113,01/25/2018,8,Theft,10H30,"Road, Street, or Sidewalk",-,-,1,"2800 POLK,Houston, TX"
114,01/25/2018,9,Theft,10H30,"Road, Street, or Sidewalk",-,-,1,"1200 PAIGE,Houston, TX"
115,01/25/2018,21,Theft,10H30,Driveway,-,-,1,"3000 DALLAS STREET,Houston, TX"
116,01/26/2018,21,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"2100 DALLAS ST,Houston, TX"
117,01/27/2018,1,Theft,10H30,"Road, Street, or Sidewalk",ST,-,1,"1500 HUTCHINS ST,Houston, TX"
118,01/27/2018,11,Theft,10H30,"Other, Unknown, or Not Listed",ST,-,1,"2200 MCKINNEY,Houston, TX"
119,01/28/2018,16,Theft,10H30,Other Parking Lot,ST,-,1,"2300 DALLAS ST,Houston, TX"
120,01/28/2018,1,Aggravated Assault,10H30,Bar or Night Club,ST,-,1,"1500 SAINT EMANUEL ST,Houston, TX"
121,01/29/2018,6,Theft,10H30,Driveway,-,-,1,"1600 NAGLE,Houston, TX"
122,01/30/2018,9,Burglary,10H30,Miscellaneous Business (Non-Specific),-,-,1,"2800 GULF FWY IB,Houston, TX"
123,01/30/2018,15,Theft,10H30,Commercial Parking Lot or Garage,-,-,1,"600 HIDDEN VALLEY DRIVE,Houston, TX"
124,01/31/2018,10,Theft,10H30,Commercial Parking Lot or Garage,-,-,1,"2100 LEELAND,Houston, TX"
125,01/01/2018,15,Theft,10H40,Bar or Night Club,ST,-,1,"2300 MAIN ST,Houston, TX"
126,01/01/2018,11,Robbery,10H40,"Road, Street, or Sidewalk",ST,-,1,"3200 OKLAHOMA,Houston, TX"
127,01/01/2018,6,Robbery,10H40,"Road, Street, or Sidewalk",ST,-,1,"8700 BROADWAY,Houston, TX"
128,01/01/2018,1,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"1600 ENCLAVE PKWY APT,Houston, TX"
129,01/02/2018,0,Burglary,10H40,Bar or Night Club,-,W,1,"4600 HOWARD LANE - SUITE 200,Houston, TX"
130,01/02/2018,21,Robbery,10H40,"Road, Street, or Sidewalk",-,-,1,"1800 VALENTINE ST. APT 2141,Houston, TX"
131,01/06/2018,18,Theft,10H40,Restaurant or Cafeteria,-,-,1,"3400 DALLAS,Houston, TX"
132,01/06/2018,20,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"3900 TUAM APT A,Houston, TX"
133,01/06/2018,15,Theft,10H40,"Other, Unknown, or Not Listed",-,-,1,"2400 MILAM,Houston, TX"
134,01/06/2018,14,Aggravated Assault,10H40,Rental Storage Facility,LN,-,1,"4000 SPRAYBERRY,Houston, TX"
135,01/06/2018,11,Robbery,10H40,"Road, Street, or Sidewalk",-,W,1,"6300 BELFORT APT 545,Houston, TX"
136,01/06/2018,13,Aggravated Assault,10H40,"Road, Street, or Sidewalk",-,W,1,"6300 BELFORT APT 545,Houston, TX"
137,01/06/2018,6,Theft,10H40,Strip Business Center Parking Lot,ST,-,1,"2600 LOUISIANA ST,Houston, TX"
138,01/06/2018,5,Robbery,10H40,"Road, Street, or Sidewalk",-,-,1,"6900 KERNEL,Houston, TX"
139,01/06/2018,7,Theft,10H40,Garage or Carport,-,-,1,"1600 HOLMAN,Houston, TX"
140,01/07/2018,1,Theft,10H40,"Road, Street, or Sidewalk",ST,-,1,"2500 FANNIN ST,Houston, TX"
141,01/07/2018,2,Theft,10H40,"Road, Street, or Sidewalk",ST,-,1,"7800 BREEZWAY,Houston, TX"
142,01/07/2018,10,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool",ST,-,1,"3200 LOUISIANA ST,Houston, TX"
143,01/07/2018,15,Theft,10H40,Department or Discount Store,ST,-,1,"1700 BREWSTER,Houston, TX"
144,01/07/2018,15,Theft,10H40,Miscellaneous Business (Non-Specific),ST,-,1,"3200 LOUISIANA ST,Houston, TX"
145,01/07/2018,15,Robbery,10H40,"Road, Street, or Sidewalk",ST,-,1,"3400 FANNIN,Houston, TX"
146,01/07/2018,17,AutoTheft,10H40,Grocery Store or Supermarket Parking Lot,-,-,1,"1600 HOLMAN,Houston, TX"
147,01/07/2018,17,Theft,10H40,Department or Discount Store,ST,-,1,"4200 MAIN,Houston, TX"
148,01/08/2018,2,Theft,10H40,Commercial Parking Lot or Garage,DR,-,1,"6100 GLENMONT,Houston, TX"
149,01/08/2018,17,Theft,10H40,Other Parking Lot,ST,-,1,"1500 HADLEY ST,Houston, TX"
150,01/08/2018,17,Theft,10H40,Residence or House,-,-,1,"1500 ISABELLA,Houston, TX"
151,01/08/2018,11,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"1500 ISABELLA,Houston, TX"
152,01/09/2018,15,Theft,10H40,Grocery Store or Supermarket,-,-,1,"4200 HOMELESS,Houston, TX"
153,01/09/2018,23,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"700 ROSALIE,Houston, TX"
154,01/10/2018,6,Burglary,10H40,Miscellaneous Business (Non-Specific),-,-,1,"1100 HOLMAN,Houston, TX"
155,01/10/2018,9,Theft,10H40,Apartment Parking Lot,ST,-,1,"3500 CHENEVERT ST,Houston, TX"
156,01/10/2018,18,Aggravated Assault,10H40,"Road, Street, or Sidewalk",-,-,1,"2400 TRUXILLO 1,Houston, TX"
157,01/10/2018,19,Aggravated Assault,10H40,"Road, Street, or Sidewalk",-,-,1,"3700 DELANO,Houston, TX"
158,01/10/2018,23,Theft,10H40,"Road, Street, or Sidewalk",DR,-,1,"3000 CARRIZO SPRINGS,Houston, TX"
159,01/11/2018,2,Theft,10H40,Bar or Night Club Parking Lot,ST,-,1,"2600 TRAVIS ST,Houston, TX"
160,01/11/2018,8,Theft,10H40,Miscellaneous Business (Non-Specific),-,-,1,"1500 TRUXILLO,Houston, TX"
161,01/11/2018,9,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"1300 ROSALIE,Houston, TX"
162,01/11/2018,14,Theft,10H40,Bank or Savings Institution Parking Lot,LN,-,1,"5400 MADDEN,Houston, TX"
163,01/12/2018,7,Theft,10H40,Apartment Parking Lot,ST,-,1,"4000 FANNIN ST,Houston, TX"
164,01/12/2018,8,Theft,10H40,"Road, Street, or Sidewalk",ST,-,1,"2800 CAROLINE ST,Houston, TX"
165,01/12/2018,23,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"1800 STONEY BROOK DR.,Houston, TX"
166,01/12/2018,19,AutoTheft,10H40,"Road, Street, or Sidewalk",-,-,1,"4300 LA BRANCH,Houston, TX"
167,01/12/2018,20,Theft,10H40,"Road, Street, or Sidewalk",ST,-,1,"3000 TRAVIS ST,Houston, TX"
168,01/12/2018,22,Theft,10H40,Other Parking Lot,DR,-,1,"9600 WAKEFIELD VILLAGE,Houston, TX"
169,01/13/2018,8,Theft,10H40,"Road, Street, or Sidewalk",ST,-,1,"3000 CAROLINE ST,Houston, TX"
170,01/13/2018,11,Theft,10H40,Apartment Parking Lot,-,-,1,"2900 MILAM,Houston, TX"
171,01/13/2018,18,Theft,10H40,Restaurant or Cafeteria Parking Lot,ST,-,1,"1400 GRAY ST,Houston, TX"
172,01/14/2018,9,Theft,10H40,Apartment Parking Lot,ST,-,1,"1600 ELGIN ST,Houston, TX"
173,01/14/2018,6,Theft,10H40,Restaurant or Cafeteria Parking Lot,AVE,-,1,"400 RICHMOND,Houston, TX"
174,01/14/2018,14,Theft,10H40,Department or Discount Store,ST,-,1,"4200 MAIN ST,Houston, TX"
175,01/15/2018,2,Theft,10H40,"Road, Street, or Sidewalk",ST,-,1,"3700 FANNIN ST,Houston, TX"
176,01/15/2018,12,Theft,10H40,Bar or Night Club,ST,-,1,"2300 MAIN ST,Houston, TX"
177,01/15/2018,13,Theft,10H40,"Road, Street, or Sidewalk",ST,-,1,"1100 BERRY ST,Houston, TX"
178,01/15/2018,21,Theft,10H40,Driveway,ST,-,1,"3100 HAMILTON ST,Houston, TX"
179,01/15/2018,18,Theft,10H40,Restaurant or Cafeteria,RD,-,1,"4000 UNDERWOOD,Houston, TX"
180,01/15/2018,18,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"7700 SAN BRUNO,Houston, TX"
181,01/16/2018,9,Theft,10H40,Restaurant or Cafeteria Parking Lot,RD,-,1,"3700 ALMEDA RD,Houston, TX"
182,01/16/2018,18,Burglary,10H40,Apartment,ST,-,1,"2500 LOUISIANA,Houston, TX"
183,01/16/2018,20,Theft,10H40,Commercial Parking Lot or Garage,ST,-,1,"2300 BASTROP,Houston, TX"
184,01/17/2018,17,Theft,10H40,Driveway,ST,-,1,"2900 JACKSON,Houston, TX"
185,01/17/2018,12,Theft,10H40,Apartment Parking Lot,ST,-,1,"2300 MAIN,Houston, TX"
186,01/17/2018,22,Robbery,10H40,Service or Gas Station,ST,-,1,"2100 FANNIN ST,Houston, TX"
187,01/18/2018,11,Theft,10H40,Apartment Parking Lot,ST,-,1,"2300 MAIN ST,Houston, TX"
188,01/19/2018,19,Theft,10H40,Commercial Parking Lot or Garage,-,-,1,"2900 MILAM,Houston, TX"
189,01/19/2018,19,Theft,10H40,Other Parking Lot,ST,-,1,"2800 CAROLINE ST,Houston, TX"
190,01/19/2018,21,Theft,10H40,Bar or Night Club Parking Lot,ST,-,1,"1000 MCGOWEN ST,Houston, TX"
191,01/19/2018,15,Theft,10H40,Residence or House,ST,-,1,"2600 CHENEVERT,Houston, TX"
192,01/20/2018,4,Aggravated Assault,10H40,Bar or Night Club,ST,-,1,"2900 TRAVIS ST,Houston, TX"
193,01/20/2018,12,Theft,10H40,Apartment,ST,-,1,"2300 MAIN ST,Houston, TX"
194,01/20/2018,19,Aggravated Assault,10H40,Residence or House,DR,-,1,"1100 GREEN TRAIL,Houston, TX"
195,01/21/2018,1,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool",ST,-,1,"3200 LOUISIANA ST,Houston, TX"
196,01/21/2018,23,Robbery,10H40,"Road, Street, or Sidewalk",ST,-,1,"1800 GRAY ST,Houston, TX"
197,01/22/2018,6,Aggravated Assault,10H40,"Vacant Single Occ Resd(House,Townhs,Dplex)",ST,-,1,"4400 FANNIN ST,Houston, TX"
198,01/22/2018,7,Burglary,10H40,Grocery Store or Supermarket,ST,-,1,"2200 LOUISIANA,Houston, TX"
199,01/22/2018,20,Theft,10H40,Garage or Carport,ST,-,1,"1600 HOLMAN,Houston, TX"
200,01/22/2018,16,Theft,10H40,"Road, Street, or Sidewalk",ST,-,1,"1200 TRAVIS,Houston, TX"
201,01/22/2018,11,Theft,10H40,"Other, Unknown, or Not Listed",ST,-,1,"2400 SAN JACINTO ST,Houston, TX"
202,01/22/2018,11,Robbery,10H40,Apartment,ST,-,1,"2300 LOUISIANA,Houston, TX"
203,01/22/2018,10,Theft,10H40,High Rise,ST,-,1,"800 ALABAMA ST,Houston, TX"
204,01/23/2018,5,Theft,10H40,Restaurant or Cafeteria Parking Lot,ST,-,1,"3700 TRAVIS ST,Houston, TX"
205,01/24/2018,14,Theft,10H40,Apartment,ST,-,1,"1200 DENNIS ST,Houston, TX"
206,01/24/2018,5,Robbery,10H40,"Road, Street, or Sidewalk",ST,-,1,"1100 MCILHENNY,Houston, TX"
207,01/24/2018,21,Theft,10H40,"Road, Street, or Sidewalk",ST,-,1,"1500 FRANCIS ST,Houston, TX"
208,01/25/2018,12,Theft,10H40,Apartment Parking Lot,ST,-,1,"2300 MAIN ST,Houston, TX"
209,01/25/2018,14,Theft,10H40,Residence or House,RD,-,1,"2300 CRAWFORD,Houston, TX"
210,01/25/2018,21,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"3500 MILAM,Houston, TX"
211,01/25/2018,22,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"4000 LA BRANCH,Houston, TX"
212,01/26/2018,16,Theft,10H40,Other Parking Lot,ST,-,1,"3200 LOUISIANA ST,Houston, TX"
213,01/26/2018,16,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"900 STUART,Houston, TX"
214,01/27/2018,4,Burglary,10H40,Grocery Store or Supermarket,ST,-,1,"2200 LOUISIANA,Houston, TX"
215,01/27/2018,12,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"3300 MILAM,Houston, TX"
216,01/27/2018,15,Theft,10H40,Apartment,ST,-,1,"700 MCGOWEN ST,Houston, TX"
217,01/27/2018,15,Theft,10H40,Grocery Store or Supermarket,-,-,1,"5200 SILVER OAK,Houston, TX"
218,01/28/2018,1,Theft,10H40,Bar or Night Club Parking Lot,-,-,1,"18500 EGRET BAY BLVD 1902,Houston, TX"
219,01/28/2018,10,Theft,10H40,Garage or Carport,-,-,1,"2600 MILAM,Houston, TX"
220,01/29/2018,22,Theft,10H40,Bar or Night Club Parking Lot,-,-,1,"2500 HODGES BEND CIRCLE,Houston, TX"
221,01/29/2018,11,Theft,10H40,Driveway,ST,-,1,"3500 CHENEVERT ST,Houston, TX"
222,01/29/2018,12,Theft,10H40,Bar or Night Club,RD,-,1,"2300 MCCUE,Houston, TX"
223,01/29/2018,19,Robbery,10H40,"Road, Street, or Sidewalk",-,-,1,"1100 WAYSIDE DR APT 14,Houston, TX"
224,01/30/2018,0,Robbery,10H40,"Road, Street, or Sidewalk",ST,-,1,"1000 GRAY ST,Houston, TX"
225,01/30/2018,22,Theft,10H40,"Road, Street, or Sidewalk",DR,E,1,"300 WILLIAM CANNON,Houston, TX"
226,01/31/2018,4,Theft,10H40,"Road, Street, or Sidewalk",RD,-,1,"1600 GARTH,Houston, TX"
227,01/31/2018,15,Theft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,ST,-,1,"2300 MAIN ST,Houston, TX"
228,01/31/2018,16,Theft,10H40,Grocery Store or Supermarket,ST,-,1,"4200 SAN JACINTO,Houston, TX"
229,01/31/2018,17,Theft,10H40,"Road, Street, or Sidewalk",ST,-,1,"1700 GRAY ST,Houston, TX"
230,01/31/2018,22,Theft,10H40,"Road, Street, or Sidewalk",-,-,1,"800 HOLMAN,Houston, TX"
231,01/03/2018,13,Theft,10H50,Office Building,ST,-,1,"2600 ELGIN,Houston, TX"
232,01/03/2018,17,Burglary,10H50,Residence or House,-,-,1,"3600 NAGLE,Houston, TX"
233,01/03/2018,18,Burglary,10H50,Residence or House,ST,-,1,"4200 AUSTIN,Houston, TX"
234,01/03/2018,22,AutoTheft,10H50,Residence or House,-,-,1,"3400 MCGOWAN,Houston, TX"
235,01/05/2018,10,AutoTheft,10H50,"Road, Street, or Sidewalk",ST,-,1,"2600 ISABELLA,Houston, TX"
236,01/05/2018,4,Robbery,10H50,"Road, Street, or Sidewalk",ST,-,1,"3300 BREMOND ST,Houston, TX"
