,Date,Hour,Offense Type,Beat,Premise,Type,Suffix,Offenses,address
3956,01/26/2018,2,Burglary,18F40,Department or Discount Store,LN,-,1,"1300 BULLOCK,Houston, TX"
3957,01/26/2018,8,Theft,18F40,Restaurant or Cafeteria Parking Lot,RD,-,1,"1400 S VOSS RD,Houston, TX"
3958,01/26/2018,6,Theft,18F40,Department or Discount Store,RD,-,1,"2700 DUNVALE,Houston, TX"
3959,01/26/2018,10,Theft,18F40,"Theatres, Dinner Theaters, Auditoriums",LN,-,1,"100 DIAMOND,Houston, TX"
3960,01/26/2018,17,Theft,18F40,Mall Parking Lot,RD,-,1,"8600 WESTHEIMER RD,Houston, TX"
3961,01/26/2018,17,Theft,18F40,"Road, Street, or Sidewalk",RD,-,1,"2600 GESSNER RD,Houston, TX"
3962,01/26/2018,20,Burglary,18F40,Apartment,-,-,1,"5400 POLK,Houston, TX"
3963,01/26/2018,19,Aggravated Assault,18F40,Convenience Store,RD,-,1,"7900 WESTHEIMER,Houston, TX"
3964,01/26/2018,22,Theft,18F40,Restaurant or Cafeteria,RD,-,1,"8300 8366F WESTHEIMER RD,Houston, TX"
3965,01/27/2018,0,AutoTheft,18F40,Apartment Parking Lot,-,-,1,"2800 ROLIDO DR,Houston, TX"
3966,01/27/2018,13,Theft,18F40,Apartment,-,-,1,"8600 WOODWAY DR,Houston, TX"
3967,01/27/2018,12,Theft,18F40,Service or Gas Station,RD,-,1,"9500 WESTHEIMER,Houston, TX"
3968,01/27/2018,17,Burglary,18F40,Apartment,DR,-,1,"8700 WOODWAY,Houston, TX"
3969,01/27/2018,15,Theft,18F40,Department or Discount Store,RD,-,1,"2700 DUNVALE,Houston, TX"
3970,01/27/2018,15,Burglary,18F40,Apartment,-,-,1,"2600 LAZY HOLLOW DR,Houston, TX"
3971,01/27/2018,9,AutoTheft,18F40,Apartment Parking Lot,ST,-,1,"3200 JEANETTA,Houston, TX"
3972,01/27/2018,10,Theft,18F40,Residence or House,RD,-,1,"2400 S VOSS RD,Houston, TX"
3973,01/27/2018,11,Theft,18F40,Apartment Parking Lot,RD,S,1,"2400 VOSS,Houston, TX"
3974,01/28/2018,15,Theft,18F40,Apartment Parking Lot,RD,-,1,"7900 WESTHEIMER RD,Houston, TX"
3975,01/28/2018,15,Theft,18F40,Specialty Store (Non-Specific),RD,-,1,"2700 DUNVALE,Houston, TX"
3976,01/28/2018,12,Aggravated Assault,18F40,Bus Stop,BLVD,-,1,"2600 WINROCK BLVD,Houston, TX"
3977,01/29/2018,18,Theft,18F40,Strip Business Center Parking Lot,RD,-,1,"8600 WESTHEIMER,Houston, TX"
3978,01/29/2018,18,Burglary,18F40,Apartment,-,-,1,"7600 HIGHMEADOW DR,Houston, TX"
3979,01/29/2018,16,Burglary,18F40,Apartment,-,-,1,"7600 HIGHMEADOW DR,Houston, TX"
3980,01/29/2018,17,Burglary,18F40,Apartment,DR,-,1,"7600 HIGHMEADOW,Houston, TX"
3981,01/29/2018,17,Theft,18F40,Convenience Store Parking Lot,RD,-,1,"8600 WESTHEIMER RD,Houston, TX"
3982,01/29/2018,19,Aggravated Assault,18F40,Apartment,-,-,3,"8100 RICHMOND AVE,Houston, TX"
3983,01/29/2018,19,Theft,18F40,Vacant Grocery Store or Supermarket,RD,-,1,"2700 DUNVALE,Houston, TX"
3984,01/29/2018,16,Theft,18F40,Apartment Parking Lot,ST,-,1,"6300 SAN FELIPE ST,Houston, TX"
3985,01/30/2018,8,AutoTheft,18F40,Auto Repair,AVE,-,2,"8700 RICHMOND,Houston, TX"
3986,01/30/2018,10,Burglary,18F40,Office Building,RD,N,1,"700 POST OAK,Houston, TX"
3987,01/30/2018,11,Theft,18F40,"Gym, Recreat, Club House, Indoor Pool",ST,-,1,"7500 SAN FELIPE ST,Houston, TX"
3988,01/30/2018,17,Burglary,18F40,Apartment,RD,-,1,"9100 WESTHEIMER RD,Houston, TX"
3989,01/30/2018,16,Robbery,18F40,Strip Business Center Parking Lot,RD,-,1,"8400 WESTHEIMER RD,Houston, TX"
3990,01/30/2018,19,Theft,18F40,Restaurant or Cafeteria Parking Lot,RD,-,1,"2600 GESSNER RD,Houston, TX"
3991,01/30/2018,21,Theft,18F40,Grocery Store or Supermarket,DR,-,1,"2900 ALMEDA PLAZA,Houston, TX"
3992,01/30/2018,23,AutoTheft,18F40,Sexually Oriented Business Parking Lot,LN,-,1,"19700 DIAMOND HILLS,Houston, TX"
3993,01/31/2018,11,Theft,18F40,"Other, Unknown, or Not Listed",RD,-,1,"8300 WESTHEIMER RD,Houston, TX"
3994,01/31/2018,21,Theft,18F40,Restaurant or Cafeteria Parking Lot,RD,-,1,"2500 S GESSNER RD,Houston, TX"
3995,01/01/2018,23,AutoTheft,18F50,Convenience Store Parking Lot,DR,-,1,"4100 FERNDALE,Houston, TX"
3996,01/02/2018,9,Robbery,18F50,Apartment,ST,-,1,"3600 JEANETTA ST,Houston, TX"
3997,01/02/2018,17,Burglary,18F50,Apartment,ST,-,1,"3400 OCEE ST,Houston, TX"
3998,01/02/2018,17,Aggravated Assault,18F50,"Road, Street, or Sidewalk",-,-,1,"9600 RICHMOND AVE,Houston, TX"
3999,01/02/2018,16,AutoTheft,18F50,Apartment Parking Lot,-,-,1,"7200 CLAREWOOD DR,Houston, TX"
4000,01/03/2018,16,Theft,18F50,Restaurant or Cafeteria,DR,-,1,"3000 GREENRIDGE,Houston, TX"
4001,01/03/2018,18,Theft,18F50,Apartment Parking Lot,RD,-,1,"5900 BONHOMME RD,Houston, TX"
4002,01/03/2018,18,Burglary,18F50,Apartment,-,-,1,"7200 CLAREWOOD DR,Houston, TX"
4003,01/03/2018,9,AutoTheft,18F50,Apartment Parking Lot,RD,W,1,"1800 MOUNT HOUSTON,Houston, TX"
4004,01/04/2018,23,Theft,18F50,Apartment Parking Lot,-,-,1,"9500 PAGEWOOD LN,Houston, TX"
4005,01/04/2018,19,Theft,18F50,Restaurant or Cafeteria,RD,-,1,"6600 FONDREN,Houston, TX"
4006,01/04/2018,15,Theft,18F50,Jewelry Stores,AVE,-,1,"5900 HILLCROFT,Houston, TX"
